ID,Name,location
0,ACMH Hospital,"1 Nolte Drive                     Kittanning, PA 16201-7111"
1,AHMC Anaheim Regional Medical Center,"1111 W. La Palma Avenue                     Anaheim, CA 92801-2881"
2,AHMC Seton Medical Center,"1900 Sullivan Avenue                     Daly City, CA 94015-2229"
3,AHN Grove City,"631 North Broad St Ext.                     Grove City, PA 16127-4603"
4,"AHS Southcrest Hospital, LLC dba Hillcrest Hospital South","8801 South 101st East Avenue                     Tulsa, OK 74133-5716"
5,Abbeville General Hospital,"118 North Hospital Drive                     Abbeville, LA 70510-0580"
6,Abbott Northwestern Hospital,""
7,Abrazo Arrowhead Campus,""
8,Abrazo Central Campus,""
9,Abrazo Scottsdale Campus,""
10,Abrazo West Campus,""
11,Acadian Medical Center,""
12,Addison Gilbert Hospital,""
13,Adena Regional Medical Center,""
14,Adirondack Medical Center - Saranac Lake,""
15,AdventHealth Altamonte Springs,""
16,AdventHealth Apopka,""
17,AdventHealth Avista,""
18,AdventHealth Carrollwood,""
19,AdventHealth Castle Rock,""
20,AdventHealth Celebration,""
